system:index,air_temp,elevation,lat,lng,lst,lulc,year,.geo
0,18.11537976555502,76,25.502582097401827,83.01510630965174,27.41526085999999,1,2020,"{""type"":""Point"",""coordinates"":[83.01510630965174,25.502582097401827]}"
1,18.215983204175075,72,25.432947660864816,83.1343988690866,28.201405460000046,1,2020,"{""type"":""Point"",""coordinates"":[83.1343988690866,25.432947660864816]}"
2,18.23355520378294,73,25.38295554654739,83.16895870102628,28.39623260000002,3,2020,"{""type"":""Point"",""coordinates"":[83.16895870102628,25.38295554654739]}"
3,18.215983204175075,75,25.435554903919826,83.1182227339966,27.01364351000001,1,2020,"{""type"":""Point"",""coordinates"":[83.1182227339966,25.435554903919826]}"
4,18.27870984367985,72,25.340217905427473,83.08469287645131,28.06981169000005,2,2020,"{""type"":""Point"",""coordinates"":[83.08469287645131,25.340217905427473]}"
5,18.24020125413034,75,25.32189608355032,83.02882326984204,24.63811960999999,2,2020,"{""type"":""Point"",""coordinates"":[83.02882326984204,25.32189608355032]}"
6,18.18313710202449,80,25.37396464655687,82.95695345208642,25.61567333000005,2,2020,"{""type"":""Point"",""coordinates"":[82.95695345208642,25.37396464655687]}"
7,18.24020125413034,79,25.328956213213534,83.00092020547761,25.253363210000032,2,2020,"{""type"":""Point"",""coordinates"":[83.00092020547761,25.328956213213534]}"
8,18.171636240969463,84,25.32954643266908,82.77902188553294,18.803559469999982,1,2020,"{""type"":""Point"",""coordinates"":[82.77902188553294,25.32954643266908]}"
9,18.11537976555502,79,25.504494206052325,83.03923249210254,26.55221081000002,1,2020,"{""type"":""Point"",""coordinates"":[83.03923249210254,25.504494206052325]}"
10,18.11537976555502,78,25.466445162836823,83.0059593976177,26.157429500000035,1,2020,"{""type"":""Point"",""coordinates"":[83.0059593976177,25.466445162836823]}"
11,18.126158705407022,78,25.359529223240965,82.90095002028741,26.593227049999996,1,2020,"{""type"":""Point"",""coordinates"":[82.90095002028741,25.359529223240965]}"
12,18.18313710202449,79,25.42423767626957,82.98299986035484,26.41890803000001,1,2020,"{""type"":""Point"",""coordinates"":[82.98299986035484,25.42423767626957]}"
13,18.215983204175075,78,25.436045091025868,83.10095561261048,25.79682839000003,2,2020,"{""type"":""Point"",""coordinates"":[83.10095561261048,25.436045091025868]}"
14,18.23355520378294,61,25.395520270238766,83.1806026713058,29.07983660000002,2,2020,"{""type"":""Point"",""coordinates"":[83.1806026713058,25.395520270238766]}"
15,18.11537976555502,78,25.51392366913034,82.97724016278329,23.544353210000054,1,2020,"{""type"":""Point"",""coordinates"":[82.97724016278329,25.51392366913034]}"
16,18.08536884485619,80,25.504656480898436,82.87141687327981,24.43645643000002,1,2020,"{""type"":""Point"",""coordinates"":[82.87141687327981,25.504656480898436]}"
17,18.13857487504208,73,25.495110260641784,83.1126077989586,24.839782790000015,0,2020,"{""type"":""Point"",""coordinates"":[83.1126077989586,25.495110260641784]}"
18,18.17428678560435,85,25.330563776735644,82.712255105014,19.341897620000054,1,2020,"{""type"":""Point"",""coordinates"":[82.712255105014,25.330563776735644]}"
19,18.24020125413034,83,25.31557244899353,83.04058969969772,24.311698700000022,2,2020,"{""type"":""Point"",""coordinates"":[83.04058969969772,25.31557244899353]}"
20,18.18313710202449,80,25.385783043942908,83.02761685688681,26.17622861000001,1,2020,"{""type"":""Point"",""coordinates"":[83.02761685688681,25.385783043942908]}"
21,18.215983204175075,79,25.352839127244646,83.10118706524862,25.526804810000044,2,2020,"{""type"":""Point"",""coordinates"":[83.10118706524862,25.352839127244646]}"
22,18.126158705407022,82,25.372490982813318,82.90231921885619,26.84616053000002,2,2020,"{""type"":""Point"",""coordinates"":[82.90231921885619,25.372490982813318]}"
