system:index,air_temp,elevation,lat,lng,lst,lulc,year,.geo
0,25.18187356016938,76,25.502582097401827,83.01510630965174,22.235251550000044,1,1996,"{""type"":""Point"",""coordinates"":[83.01510630965174,25.502582097401827]}"
1,25.21100054004961,72,25.432947660864816,83.1343988690866,19.610212190000027,3,1996,"{""type"":""Point"",""coordinates"":[83.1343988690866,25.432947660864816]}"
2,25.227776456859203,73,25.38295554654739,83.16895870102628,22.585598600000026,1,1996,"{""type"":""Point"",""coordinates"":[83.16895870102628,25.38295554654739]}"
3,25.21100054004961,75,25.435554903919826,83.1182227339966,18.530117870000026,1,1996,"{""type"":""Point"",""coordinates"":[83.1182227339966,25.435554903919826]}"
4,25.26518459755522,72,25.340217905427473,83.08469287645131,22.33266512,3,1996,"{""type"":""Point"",""coordinates"":[83.08469287645131,25.340217905427473]}"
5,25.258976513936602,75,25.32189608355032,83.02882326984204,27.333228380000037,0,1996,"{""type"":""Point"",""coordinates"":[83.02882326984204,25.32189608355032]}"
6,25.19965547012947,80,25.37396464655687,82.95695345208642,25.302924500000017,1,1996,"{""type"":""Point"",""coordinates"":[82.95695345208642,25.37396464655687]}"
7,25.258976513936602,79,25.328956213213534,83.00092020547761,26.39669090000001,1,1996,"{""type"":""Point"",""coordinates"":[83.00092020547761,25.328956213213534]}"
8,25.22233446199607,84,25.32954643266908,82.77902188553294,25.730177000000026,1,1996,"{""type"":""Point"",""coordinates"":[82.77902188553294,25.32954643266908]}"
9,25.18187356016938,79,25.504494206052325,83.03923249210254,18.651457580000056,1,1996,"{""type"":""Point"",""coordinates"":[83.03923249210254,25.504494206052325]}"
10,25.18187356016938,78,25.466445162836823,83.0059593976177,22.10365778000005,1,1996,"{""type"":""Point"",""coordinates"":[83.0059593976177,25.466445162836823]}"
11,25.1715757309031,78,25.359529223240965,82.90095002028741,27.52463750000004,2,1996,"{""type"":""Point"",""coordinates"":[82.90095002028741,25.359529223240965]}"
12,25.19965547012947,79,25.42423767626957,82.98299986035484,21.404672689999984,1,1996,"{""type"":""Point"",""coordinates"":[82.98299986035484,25.42423767626957]}"
